"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"846",48,"Stir Fry","Migos",2018,0.817,0.816,2,-5.402,1,0.269,0.0026,0,0.159,0.508,182,"2UVbBKQOdFAekPTRsnkzcf",190288,"TRUE","72","atl hip hop","hip hop","pop rap","rap","atl hip hop"
"847",49,"Too Good At Goodbyes","Sam Smith",2018,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,92,"3VlbOrM6nYPprVvzBZllE5",201000,"FALSE","74","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"848",50,"Love.","Kendrick Lamar Zacari",2018,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126,"6PGoSes0D9eUDeeAafB2As",213400,"TRUE","79","contemporary country","country road","contemporary country","country road","contemporary country"
"849",51,"This Is America","Childish Gambino",2018,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120,"0b9oOr2ZgvyQu88wzixux9",225773,"TRUE","73","comedy rap","pop rap","rap","comedy rap","pop rap"
"850",52,"Nonstop","Drake",2018,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,155,"0TlLq3lA83rQOYtrqBqSct",238614,"TRUE","78","emo rap","emo rap","emo rap","emo rap","emo rap"
"851",53,"Heaven","Kane Brown",2018,0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80,"1HXy5I3HTWq8OvxCn0z7G7",179507,"FALSE","74","atl hip hop","hip hop","melodic rap","pop rap","rap"
"852",54,"Bodak Yellow (Money Moves)","Cardi B",2018,0.813,0.574,9,-9.401,1,0.0577,0.0606,0,0.428,0.546,125,"3g2qgbWPl8TcgJIkstWpSV",220395,"FALSE","7","pop","pop rock","pop","pop rock","pop"
"853",55,"Freaky Friday","Lil Dicky Chris Brown",2018,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133,"10Igtw8bSDyyFs7KIsKngZ",216632,"TRUE","74","dance pop","pop","pop rap","rap","dance pop"
"854",56,"Gummo","6ix9ine",2018,0.66,0.775,2,-4.926,1,0.172,0.0553,0,0.129,0.635,157,"4HbiCvH1R7mVOJ7KY7JQBD",157643,"TRUE","65","dance pop","pop","pop dance","post-teen pop","dance pop"
"855",57,"Plug Walk","Rich The Kid",2018,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,95,"1ZAyjvIk9YiD76yYy0TEG6",175230,"TRUE","73","dance pop","pop","pop rap","rap","dance pop"
"856",58,"Wait","Maroon 5",2018,0.655,0.603,8,-5.014,1,0.0555,0.0959,0,0.107,0.452,126,"6AvfZXpbb6r35DfF7gHPRq",190643,"FALSE","62","dance pop","pop","post-teen pop","dance pop","pop"
